treatment;ID;morphospecies;sindrome;ID_SEED;month;abundance;forest_fragment;seed_diameter;seed_length;;;;;;;;;;;;;;;
treeless 01;1;morfo 10;anemochorous;27;novembro;18;1;7.161111111;22.432;;;;;;;;;;;;;;;
treeless 01;2;fabaceae 01;anemochorous;28;novembro;1;1;5.923333333;11.8;;;;;;;;;;;;;;;
treeless 01;3;Cecropia sp;zoochooric;11;fevereiro;8;1;1.008;1.616;;;;;;;;;;;;;;;
treeless 01;4;Cecropia sp;zoochooric;11;março;41;1;1.008;1.616;;;;;;;;;;;;;;;
treeless 01;5;Pera glabrata;zoochooric;8;abril;1;1;4.299;6.082;;;;;;;;;;;;;;;
treeless 01;6;morfo 4;anemochorous;20;março;2;1;4.625;7.3;;;;;;;;;;;;;;;
treeless 02;7;asteraceae;anemochorous;5;dezembro;9;1;1.01;4.348;;;;;;;;;;;;;;;
treeless 02;8;asteraceae;anemochorous;5;março;1;1;1.01;4.348;;;;;;;;;;;;;;;
treeless 02;9;Cecropia sp;zoochooric;11;dezembro;14;1;1.008;1.616;;;;;;;;;;;;;;;
treeless 02;10;Cecropia sp;zoochooric;11;janeiro;7;1;1.008;1.616;;;;;;;;;;;;;;;
treeless 02;11;Cecropia sp;zoochooric;11;março;23;1;1.008;1.616;;;;;;;;;;;;;;;
treeless 02;12;Cecropia sp;zoochooric;11;maio;14;1;1.008;1.616;;;;;;;;;;;;;;;
treeless 02;13;morfo 4;anemochorous;20;março;1;1;4.625;7.3;;;;;;;;;;;;;;;
treeless 02;14;asteraceae;anemochorous;5;agosto;6;1;1.01;4.348;;;;;;;;;;;;;;;
treeless 02;15;Piptadenia gonoacantha (Fabaceae);autochorous;2;agosto;7;1;5.928;8.839;;;;;;;;;;;;;;;
treeless 02;16;morfo 4;anemochorous;20;setembro;1;1;4.625;7.3;;;;;;;;;;;;;;;
treeless 02;17;asteraceae;anemochorous;5;setembro;3;1;1.01;4.348;;;;;;;;;;;;;;;
treeless 03;18;Cecropia sp;zoochooric;11;novembro;3;1;1.008;1.616;;;;;;;;;;;;;;;
